Date,Hour,Rented eScooter Count,Distance from centre(km),Temperature(°C),Wind speed (m/s),Visibility(10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall(cm),Season,Scheme Functioning
01/01/2021,0,206,2.922009083,-1.2,0.5,1358,-14.9,0,0,0,Winter,Yes
01/01/2021,1,230,5.779140542,-1.3,0.7,2000,-14.7,0,0,0,Winter,Yes
01/01/2021,2,178,5.158189377,-1.7,0.9,2000,-14.7,0,0,0,Winter,Yes
01/01/2021,3,119,8.795390201,-2,1,2000,-14.4,0,0,0,Winter,Yes
01/01/2021,4,62,8.420306503,-2.2,1.1,1994,-12.3,0,0,0,Winter,Yes
01/01/2021,5,61,8.558071793,-2.4,0.8,1786,-12.3,0,0,0,Winter,Yes
01/01/2021,6,65,5.760005062,-2.5,1.1,2000,-13.1,0,0,0,Winter,Yes
01/01/2021,7,81,0.88621676,-2.7,1.1,2000,-12.1,0,0,0,Winter,Yes
01/01/2021,8,89,4.51644183,-3,1,2000,-12.6,0,0,0,Winter,Yes
01/01/2021,9,121,6.947669686,-2.3,0.7,1973,-16.2,0.15,0,0,Winter,Yes
01/01/2021,10,139,2.42472322,0.4,0.8,1766,-16.1,0.53,0,0,Winter,Yes
01/01/2021,11,169,6.038420727,2.1,2.2,1874,-16.7,0.84,0,0,Winter,Yes
01/01/2021,12,225,3.108018726,3.5,2.8,1992,-19,1.03,0,0,Winter,Yes
01/01/2021,13,248,6.495571346,4.4,2.3,1921,-17.2,1.1,0,0,Winter,Yes
01/01/2021,14,298,9.115017442,5.7,2.1,1906,-15,1.01,0,0,Winter,Yes
01/01/2021,15,344,2.483685974,5,2.9,1715,-14.2,0.78,0,0,Winter,Yes
01/01/2021,16,310,9.110140922,5,2.5,1864,-13.7,0.51,0,0,Winter,Yes
01/01/2021,17,271,1.654452789,3.8,3.3,1913,-12.8,0.18,0,0,Winter,Yes
01/01/2021,18,218,8.32502837,2.8,1.9,1887,-13.3,0.01,0,0,Winter,Yes
01/01/2021,19,125,3.099471002,1.9,1.3,1911,-12.4,0,0,0,Winter,Yes
01/01/2021,20,206,0.329494014,1.7,1.2,1936,-12.2,0,0,0,Winter,Yes
01/01/2021,21,203,1.607346559,1.1,1.2,1871,-11.6,0,0,0,Winter,Yes
01/01/2021,22,168,8.209018701,0.7,0.8,1927,-10.9,0,0,0,Winter,Yes
01/01/2021,23,154,4.180220248,0.4,0.7,1882,-10.4,0,0,0,Winter,Yes
02/01/2021,0,148,7.310820529,0.2,1.1,1772,-9.8,0,0,0,Winter,Yes
02/01/2021,1,108,1.859012407,-0.1,0.8,1732,-9.7,0,0,0,Winter,Yes
02/01/2021,2,69,8.361499363,-0.3,0.9,1560,-8.6,0,0,0,Winter,Yes
02/01/2021,3,41,6.388948914,-0.5,0.4,1626,-8.7,0,0,0,Winter,Yes
02/01/2021,4,31,0.267200386,-0.7,0.5,1302,-7.9,0,0,0,Winter,Yes
02/01/2021,5,58,0.874931408,-1.1,0.6,1384,-8.3,0,0,0,Winter,Yes
02/01/2021,6,139,8.628838972,-1.2,0.4,1409,-8.4,0,0,0,Winter,Yes
02/01/2021,7,344,5.636322564,-1.2,0.5,1249,-8,0,0,0,Winter,Yes
02/01/2021,8,655,7.398356554,-1.4,0.8,1179,-7.9,0,0,0,Winter,Yes
02/01/2021,9,315,2.200273184,-1.1,0.2,1168,-8.5,0.12,0,0,Winter,Yes
02/01/2021,10,208,9.865481361,0.6,1.9,1355,-10.5,0.38,0,0,Winter,Yes
02/01/2021,11,269,1.654421927,1.6,2.3,1633,-12.3,0.66,0,0,Winter,Yes
02/01/2021,12,293,4.581798175,2.9,1.9,1761,-15.1,0.88,0,0,Winter,Yes
02/01/2021,13,273,5.717364127,3.5,3.6,1970,-17.4,0.95,0,0,Winter,Yes
02/01/2021,14,302,2.36071727,3.7,4.4,1995,-18.9,0.91,0,0,Winter,Yes
02/01/2021,15,295,6.184823462,3.5,3,1998,-17.9,0.76,0,0,Winter,Yes
02/01/2021,16,320,2.262134702,3.3,2.9,2000,-17.6,0.51,0,0,Winter,Yes
02/01/2021,17,373,8.799466433,2.3,2.6,2000,-16.5,0.18,0,0,Winter,Yes
02/01/2021,18,675,6.174775441,1.2,2.3,2000,-18.9,0.01,0,0,Winter,Yes
02/01/2021,19,403,2.104934629,0.7,2.4,2000,-17.5,0,0,0,Winter,Yes
02/01/2021,20,364,8.345729237,0.1,2.2,2000,-18.9,0,0,0,Winter,Yes
02/01/2021,21,304,7.679696273,-0.6,2,2000,-18.6,0,0,0,Winter,Yes
02/01/2021,22,273,6.777308194,-1.4,2.4,2000,-17.4,0,0,0,Winter,Yes
02/01/2021,23,186,1.333681578,-1.8,2.3,2000,-17,0,0,0,Winter,Yes
03/01/2021,0,160,0.241457112,-2.3,1.4,2000,-16.5,0,0,0,Winter,Yes
03/01/2021,1,130,3.522566769,-3,1.2,1993,-15.9,0,0,0,Winter,Yes
03/01/2021,2,110,0.955936211,-3.5,2,2000,-16.1,0,0,0,Winter,Yes
03/01/2021,3,67,2.727708959,-4.1,1.3,1999,-16.1,0,0,0,Winter,Yes
03/01/2021,4,43,4.405545059,-4.1,2.3,2000,-16.1,0,0,0,Winter,Yes
03/01/2021,5,67,3.970714667,-4.4,2.4,1981,-15.8,0,0,0,Winter,Yes
03/01/2021,6,137,9.305358791,-4.7,2.4,1991,-15.9,0,0,0,Winter,Yes
03/01/2021,7,308,7.689111054,-4.9,2.4,1974,-16,0,0,0,Winter,Yes
03/01/2021,8,670,5.432841849,-5,1.5,1971,-15.9,0,0,0,Winter,Yes
03/01/2021,9,342,8.261703181,-4.8,1.7,1858,-17,0.16,0,0,Winter,Yes
03/01/2021,10,213,5.373788712,-3.6,2.9,1752,-17.6,0.55,0,0,Winter,Yes
03/01/2021,11,267,1.474094136,-2.5,3.2,1736,-17.3,0.77,0,0,Winter,Yes
03/01/2021,12,297,7.361163505,-1.4,3.1,1706,-17.7,1.02,0,0,Winter,Yes
03/01/2021,13,279,9.915615214,-0.2,2.3,1910,-17,1.13,0,0,Winter,Yes
03/01/2021,14,270,1.826380175,0.5,2.8,1903,-16.8,1.1,0,0,Winter,Yes
03/01/2021,15,286,5.06021511,0.9,2.8,1976,-16.9,0.96,0,0,Winter,Yes
03/01/2021,16,299,6.913788872,1.6,2,2000,-15.9,0.62,0,0,Winter,Yes
03/01/2021,17,382,1.701986288,0.1,1.8,2000,-15.3,0.25,0,0,Winter,Yes
03/01/2021,18,637,9.867359907,-1.1,2.1,2000,-15.1,0,0,0,Winter,Yes
03/01/2021,19,431,1.833239419,-1.7,2,2000,-15,0,0,0,Winter,Yes
03/01/2021,20,294,2.339196506,-1.9,2.5,2000,-14.3,0,0,0,Winter,Yes
03/01/2021,21,335,1.230810279,-2.3,2.8,1997,-13.9,0,0,0,Winter,Yes
03/01/2021,22,291,0.697088266,-3.2,1.3,1969,-13.3,0,0,0,Winter,Yes
03/01/2021,23,197,1.289817623,-3.9,0.8,1968,-13.7,0,0,0,Winter,Yes
04/01/2021,0,159,7.890967274,-4.3,1.4,1990,-14.1,0,0,0,Winter,Yes
04/01/2021,1,150,5.011211152,-4.9,2.3,1994,-14.2,0,0,0,Winter,Yes
04/01/2021,2,123,0.352716768,-5.3,2,1978,-14.3,0,0,0,Winter,Yes
04/01/2021,3,57,9.111117048,-5.4,1.7,1968,-15.1,0,0,0,Winter,Yes
04/01/2021,4,38,8.18555541,-5.5,1.3,1984,-15,0,0,0,Winter,Yes
04/01/2021,5,66,7.100111261,-5.6,1.3,2000,-16.4,0,0,0,Winter,Yes
04/01/2021,6,120,9.773299957,-5.6,2.3,2000,-16.9,0,0,0,Winter,Yes
04/01/2021,7,302,2.090467735,-6.1,0.5,1987,-16.4,0,0,0,Winter,Yes
04/01/2021,8,646,5.602071543,-6.6,0.6,1984,-16,0,0,0,Winter,Yes
04/01/2021,9,340,4.828986542,-5.9,1.2,1926,-17,0.14,0,0,Winter,Yes
04/01/2021,10,197,9.601435797,-4.4,1,1872,-16.9,0.43,0,0,Winter,Yes
04/01/2021,11,264,4.014960755,-2.4,0.8,1671,-16,0.69,0,0,Winter,Yes
04/01/2021,12,290,3.413588434,-0.9,0.9,1813,-16.9,0.92,0,0,Winter,Yes
04/01/2021,13,284,7.084567934,0,1,1864,-16.5,0.91,0,0,Winter,Yes
04/01/2021,14,262,0.9282972,1.2,1.4,1846,-15.4,0.78,0,0,Winter,Yes
04/01/2021,15,281,0.499265606,0.8,0.8,1732,-16.2,0.47,0,0,Winter,Yes
04/01/2021,16,309,3.716330831,0.6,1.8,1719,-15.2,0.3,0,0,Winter,Yes
04/01/2021,17,397,3.434138207,-0.1,1.4,1591,-14.8,0.09,0,0,Winter,Yes
04/01/2021,18,603,0.712416206,-0.6,1.4,1604,-14.9,0,0,0,Winter,Yes
04/01/2021,19,417,8.622370951,-0.7,1.4,1616,-14.7,0,0,0,Winter,Yes
04/01/2021,20,311,5.250633285,-0.8,1.7,1702,-14.8,0,0,0,Winter,Yes
04/01/2021,21,310,8.592700181,-1.1,2,1742,-14.5,0,0,0,Winter,Yes
04/01/2021,22,306,0.57274196,-1.6,1.3,1689,-13.5,0,0,0,Winter,Yes
04/01/2021,23,221,0.292951851,-2,1.5,1536,-13.4,0,0,0,Winter,Yes
05/01/2021,0,202,9.566351035,-2.7,1.8,1611,-13,0,0,0,Winter,Yes
05/01/2021,1,170,6.200608733,-3.1,1.5,1550,-13.6,0,0,0,Winter,Yes
05/01/2021,2,118,5.811262834,-3.3,1.6,1481,-13.6,0,0,0,Winter,Yes
05/01/2021,3,67,5.556759054,-3.5,1.1,1453,-12.9,0,0,0,Winter,Yes
05/01/2021,4,47,3.047843624,-3.1,1.7,1266,-12.7,0,0,0,Winter,Yes
05/01/2021,5,75,2.925534738,-3.1,1.5,1452,-12.7,0,0,0,Winter,Yes
05/01/2021,6,123,7.727651009,-3.1,1.3,1346,-12.9,0,0,0,Winter,Yes
05/01/2021,7,327,8.546275844,-3.3,1.1,1300,-13.4,0,0,0,Winter,Yes
05/01/2021,8,665,4.383542375,-3.3,1,1319,-13.8,0,0,0,Winter,Yes
05/01/2021,9,354,3.970308864,-2.7,1.2,1550,-13.8,0.12,0,0,Winter,Yes
05/01/2021,10,232,9.620279569,-1.3,1.3,1407,-12.2,0.4,0,0,Winter,Yes
05/01/2021,11,308,4.870618846,1.3,1.5,1429,-11.1,0.76,0,0,Winter,Yes
05/01/2021,12,362,2.162448887,1.7,2.2,1066,-10.8,1.01,0,0,Winter,Yes
05/01/2021,13,312,9.848893383,2.9,2,1112,-10.2,0.98,0,0,Winter,Yes
05/01/2021,14,343,6.554082289,3.4,2,1003,-10.4,0.99,0,0,Winter,Yes
05/01/2021,15,333,0.658453437,3.5,2.8,1776,-12.6,0.84,0,0,Winter,Yes
05/01/2021,16,329,0.180873039,3,2.9,2000,-13.1,0.61,0,0,Winter,Yes
05/01/2021,17,446,6.453400659,1.4,3.3,1827,-11,0.24,0,0,Winter,Yes
05/01/2021,18,635,7.833091826,0.2,2.2,1709,-12.4,0.01,0,0,Winter,Yes
05/01/2021,19,443,9.380902733,-0.5,0.6,1436,-11.7,0,0,0,Winter,Yes
05/01/2021,20,322,2.520110213,-1.4,1.1,1391,-12.1,0,0,0,Winter,Yes
05/01/2021,21,284,3.966274855,-1.5,0.9,1353,-11.7,0,0,0,Winter,Yes
05/01/2021,22,281,3.502952492,-1.8,1.3,1300,-12,0,0,0,Winter,Yes
05/01/2021,23,189,6.696347327,-1.6,1.9,1284,-12.5,0,0,0,Winter,Yes
06/01/2021,0,184,0.29958321,-2.3,1.6,1247,-12.7,0,0,0,Winter,Yes
06/01/2021,1,222,8.573509141,-2.8,1.2,1219,-12.7,0,0,0,Winter,Yes
06/01/2021,2,176,2.483613575,-3.5,1.4,1285,-12.9,0,0,0,Winter,Yes
06/01/2021,3,103,6.856631968,-3.6,1,1367,-13,0,0,0,Winter,Yes
06/01/2021,4,61,1.303871291,-3.9,1.1,1260,-12.2,0,0,0,Winter,Yes
06/01/2021,5,48,5.883771941,-4.1,1,1231,-11.8,0,0,0,Winter,Yes
06/01/2021,6,69,0.270088078,-4.5,0.7,1175,-11.6,0,0,0,Winter,Yes
06/01/2021,7,105,7.059823197,-4.6,1,1320,-12,0,0,0,Winter,Yes
06/01/2021,8,186,7.593682946,-4.5,1.1,1503,-12.5,0,0,0,Winter,Yes
06/01/2021,9,221,9.837427305,-3.8,1.4,1728,-14.8,0.16,0,0,Winter,Yes
06/01/2021,10,204,7.322751427,-1.5,2,1946,-15.4,0.54,0,0,Winter,Yes
06/01/2021,11,245,4.542289141,0.4,2.1,1812,-15.1,0.87,0,0,Winter,Yes
06/01/2021,12,283,9.423631859,2,2.3,1672,-13.6,1.07,0,0,Winter,Yes
06/01/2021,13,356,3.455690196,2.9,2.4,1895,-15.6,1.18,0,0,Winter,Yes
06/01/2021,14,370,9.97804457,3.8,2,1693,-14.3,1.14,0,0,Winter,Yes
06/01/2021,15,373,4.972630733,4.3,2.2,1877,-14.8,0.92,0,0,Winter,Yes
06/01/2021,16,352,6.364858759,4.7,2.2,1811,-14.4,0.64,0,0,Winter,Yes
06/01/2021,17,354,7.212583468,3.1,1.7,1989,-14.1,0.26,0,0,Winter,Yes
06/01/2021,18,271,8.872913614,1.4,1.6,1797,-13.5,0.01,0,0,Winter,Yes
06/01/2021,19,207,4.320891555,0.8,1.2,1663,-14,0,0,0,Winter,Yes
06/01/2021,20,189,0.266412016,-0.1,1.1,1578,-13.6,0,0,0,Winter,Yes
06/01/2021,21,214,4.006229438,-0.5,0.8,1495,-12.2,0,0,0,Winter,Yes
06/01/2021,22,218,0.662359706,-0.6,1.6,1492,-12.3,0,0,0,Winter,Yes
06/01/2021,23,169,3.524750968,-1.2,0.8,1429,-12.1,0,0,0,Winter,Yes
07/01/2021,0,192,5.262749118,-1.8,0.7,1574,-13.2,0,0,0,Winter,Yes
07/01/2021,1,162,4.131964037,-1.9,0.2,1535,-12.5,0,0,0,Winter,Yes
07/01/2021,2,128,7.083693913,-2.4,0.3,1594,-12.5,0,0,0,Winter,Yes
07/01/2021,3,102,5.72992905,-2.8,0.6,1505,-12.2,0,0,0,Winter,Yes
07/01/2021,4,62,1.561745675,-3.1,0.7,1377,-11.6,0,0,0,Winter,Yes
07/01/2021,5,40,6.675393696,-3.6,0.7,1350,-12.5,0,0,0,Winter,Yes
07/01/2021,6,38,7.64787393,-3.5,0.7,1503,-13.8,0,0,0,Winter,Yes
07/01/2021,7,60,6.209949413,-3.6,0.9,1368,-12.5,0,0,0,Winter,Yes
07/01/2021,8,122,6.872766307,-3.3,1.1,1411,-13.4,0,0,0,Winter,Yes
07/01/2021,9,143,3.620372627,-1.8,1.6,1371,-12.9,0.18,0,0,Winter,Yes
07/01/2021,10,179,2.02602076,0.2,1.8,1555,-13.6,0.48,0,0,Winter,Yes
07/01/2021,11,214,5.886473429,2.5,1.4,1558,-13.2,0.75,0,0,Winter,Yes
07/01/2021,12,278,6.648532063,3.1,0.9,1455,-13,0.6,0,0,Winter,Yes
07/01/2021,13,265,2.697852091,3.4,0.8,1394,-12.7,0.5,0,0,Winter,Yes
07/01/2021,14,331,8.333217658,3.9,0.7,1368,-13,0.41,0,0,Winter,Yes
07/01/2021,15,368,6.340189736,4.7,0.9,1603,-12.7,0.43,0,0,Winter,Yes
07/01/2021,16,333,0.195812434,4.6,1,1381,-12.4,0.27,0,0,Winter,Yes
07/01/2021,17,349,7.514756783,4.3,0.2,1515,-12.3,0.13,0,0,Winter,Yes
07/01/2021,18,270,5.794443085,3.8,1.2,1518,-12.4,0,0,0,Winter,Yes
07/01/2021,19,246,8.697148624,3.6,1,1419,-12.2,0,0,0,Winter,Yes
07/01/2021,20,233,3.645295744,3.3,0.4,1386,-11.4,0,0,0,Winter,Yes
07/01/2021,21,236,8.927363108,3.2,0.6,1378,-11.2,0,0,0,Winter,Yes
07/01/2021,22,214,6.750209869,3.1,0.5,1305,-11,0,0,0,Winter,Yes
07/01/2021,23,149,5.99573365,3.1,0.6,1422,-11.3,0,0,0,Winter,Yes
08/01/2021,0,149,6.203446464,2.9,1.1,1271,-10.5,0,0,0,Winter,Yes
08/01/2021,1,109,4.893315579,2.9,0.2,1333,-10.5,0,0,0,Winter,Yes
08/01/2021,2,77,9.602954394,2.8,0.5,1275,-10.6,0,0,0,Winter,Yes
08/01/2021,3,53,4.197174006,2.9,0.4,1261,-10.2,0,0,0,Winter,Yes
08/01/2021,4,46,3.781444722,3,0.8,1253,-10.2,0,0,0,Winter,Yes
08/01/2021,5,67,2.159093793,2.8,1,1394,-10.6,0,0,0,Winter,Yes
08/01/2021,6,159,3.90530522,2.8,0.7,1268,-9.8,0,0,0,Winter,Yes
08/01/2021,7,374,3.619922639,2.7,0.8,1357,-10.1,0,0,0,Winter,Yes
08/01/2021,8,701,0.116959383,2.7,0.7,1339,-9.9,0,0,0,Winter,Yes
08/01/2021,9,387,5.229684403,2.8,0.9,1070,-9.2,0.05,0,0,Winter,Yes
08/01/2021,10,253,5.117650823,3.3,0.8,971,-9.9,0.16,0,0,Winter,Yes
08/01/2021,11,278,3.779895366,3.7,0.6,1062,-11.4,0.23,0,0,Winter,Yes
08/01/2021,12,356,4.599938601,4.7,2.7,1281,-12,0.6,0,0,Winter,Yes
08/01/2021,13,303,7.281309579,5,1.6,1518,-12.1,0.38,0,0,Winter,Yes
08/01/2021,14,349,7.187825756,5.4,1.4,1267,-12.1,0.36,0,0,Winter,Yes
08/01/2021,15,318,6.628203704,5.9,1.8,1293,-10.9,0.39,0,0,Winter,Yes
08/01/2021,16,353,7.487209985,5.5,1.7,1702,-10.2,0.16,0,0,Winter,Yes
08/01/2021,17,385,1.672672591,4.7,2.8,1957,-6.7,0.06,0,0,Winter,Yes
08/01/2021,18,316,5.626451899,3.5,2.5,638,-3.3,0,0,0,Winter,Yes
